episode,scene,texts,gold_standard
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Monica', ""Okay, everybody relax. This is not even a\ndate. It's just two people going out to dinner and- not having sex.""], ['Chandler', 'Sounds like a date to me.']]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Chandler', ""All of a sudden, the phone starts to ring.\nNow I don't know what to do, everybody starts looking at me.""], ['Monica', ""And they weren't looking at\nyou before?!""], ['Chandler', ""Finally, I figure\nI'd better answer it, and it turns out it's my mother,\nwhich is very-very weird, because- she never calls me!""]]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Chandler', 'Cookie?'], ['Monica', '(explaining to the others) Carol moved her\nstuff out today.']]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Chandler', 'And I just want a million dollars! (He\nextends his hand hopefully.)'], ['Monica', 'Rachel?!']]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Monica', ""Now I'm guessing that he bought her the big\npipe organ, and she's really not happy about it.""], ['Chandler', '(imitating the characters)\nTuna or egg salad?\xa0 Decide!']]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Monica', 'Yes!'], ['Chandler', 'Ooh, this is a Dear Diary moment.'], ['Monica', 'Rach, wait, I can cancel...']]",0
Episode 101: The Pilot-The Uncut Version," Central Perk, Chandler, Joey, Phoebe, and Monica are there.","[['Chandler', ""I'm sorry, I didn't catch your name. Paul,\nwas it?""], ['Monica', ""Okay, umm-umm, I'll\njust--I'll be right back, I just gotta go ah, go ah...""]]",0
Episode 102: The One With The Sonogram At the End," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's
Company.","[['Monica', 'Whose little ball of paper is this?!'], ['Chandler', ""Oh, uh, that would be mine. See, I wrote a note to myself, and then I\nrealised I didn't need it, so I balled it up and... (sees that Monica is glaring at him)\n...now I wish I was dead.""]]",0
Episode 102: The One With The Sonogram At the End," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's
Company.","[['Monica', ""Look , I'm sorry, guys, I just don't wanna give them any more ammunition\nthan they already have.""], ['Chandler', ""Yes, and we all know how cruel a parent can be about the flatness of a\nchild's pillow.""]]",0
Episode 102: The One With The Sonogram At the End," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's
Company.","[['Monica', ""That's because as far as my parents are concerned, Ross can do no wrong.\nY'see, he's the Prince. Apparently they had some big ceremony before I was born.""], ['Chandler', '(looking out the window) Ew, ew, ew, ew ew ew ew ew!'], ['Monica', 'What?'], ['Chandler', 'Ugly Naked Guy got a Thighmaster!']]",0
